iter	RMSE
0	16.27185794
1	15.78813623
2	15.32174563
3	14.88319671
4	14.45235481
5	14.0574636
6	13.66753375
7	13.39603365
8	13.0287901
9	12.68292732
10	12.35986053
11	12.08699817
12	11.78069211
13	11.50950662
14	11.22850155
15	10.98745972
16	10.74361381
17	10.5229561
18	10.29303234
19	10.06435448
20	9.844877908
21	9.628923606
22	9.440748495
23	9.252737555
24	9.070758925
25	8.916872851
26	8.765452467
27	8.608228034
28	8.463525499
29	8.326700875
30	8.202168987
31	8.082743991
32	7.971179695
33	7.858566823
34	7.758150184
35	7.667391847
36	7.569714925
37	7.479701548
38	7.396832643
39	7.327490485
40	7.248755309
41	7.177158968
42	7.107451525
43	7.043078663
44	6.978621757
45	6.913455541
46	6.851269595
47	6.799237871
48	6.748140621
49	6.712396679
50	6.664072554
51	6.619107641
52	6.580919671
53	6.545733397
54	6.505975461
55	6.471968102
56	6.444016033
57	6.415649873
58	6.382859107
59	6.35014487
60	6.324684735
61	6.300950924
62	6.278696521
63	6.257472657
64	6.234410944
65	6.212646108
66	6.194217838
67	6.174130372
68	6.155130541
69	6.133371194
70	6.114381282
71	6.098318898
72	6.083825874
73	6.067702926
74	6.052210883
75	6.040037028
76	6.031132077
77	6.01323724
78	6.002376569
79	5.990782062
80	5.981379704
81	5.975299969
82	5.963940089
83	5.956418463
84	5.950680197
85	5.942525753
86	5.930038645
87	5.922512419
88	5.914225673
89	5.911146984
90	5.903564837
91	5.896889749
92	5.889477089
93	5.880328082
94	5.875023875
95	5.865186701
96	5.854278675
97	5.849156912
98	5.846367545
99	5.840899932
100	5.834128842
101	5.825911468
102	5.820632681
103	5.813640477
104	5.808401887
105	5.798997845
106	5.793351778
107	5.789624945
108	5.785579689
109	5.780509065
110	5.775285444
111	5.771296902
112	5.767430022
113	5.763735452
114	5.758575846
115	5.752039409
116	5.748547494
117	5.739391424
118	5.735282013
119	5.732058935
120	5.727851816
121	5.724004909
122	5.718398905
123	5.712732668
124	5.707153272
125	5.702604203
126	5.699489122
127	5.69652885
128	5.692445444
129	5.689305019
130	5.684636304
131	5.67967039
132	5.676105643
133	5.669998573
134	5.666280082
135	5.660108323
136	5.656716403
137	5.651389636
138	5.646352916
139	5.644181362
140	5.642673084
141	5.640415222
142	5.636106732
143	5.631292853
144	5.626903004
145	5.623745176
146	5.620250067
147	5.614690937
148	5.609311256
149	5.602773246
150	5.598015827
151	5.594242167
152	5.591896474
153	5.587830613
154	5.582287879
155	5.579861152
156	5.574774097
157	5.572787261
158	5.569188144
159	5.566734223
160	5.56504259
161	5.556570284
162	5.55395769
163	5.548952721
164	5.544906129
165	5.541163337
166	5.533795013
167	5.526179821
168	5.522233106
169	5.518075862
170	5.513257494
171	5.507013143
172	5.504505962
173	5.499415404
174	5.493675667
175	5.491945287
176	5.486096917
177	5.480140912
178	5.476399487
179	5.474875563
180	5.470454831
181	5.468513238
182	5.463047195
183	5.461696671
184	5.458157166
185	5.454918155
186	5.447997352
187	5.441430023
188	5.437803491
189	5.435815611
190	5.434694158
191	5.429143021
