iter	Passed	Remaining
0	1	1714
1	3	1710
2	4	1598
3	6	1559
4	7	1538
5	9	1509
6	10	1501
7	12	1488
8	14	1577
9	15	1568
10	17	1551
11	18	1542
12	20	1530
13	21	1522
14	23	1513
15	24	1504
16	25	1495
17	27	1489
18	29	1532
19	31	1529
20	32	1520
21	34	1513
22	35	1508
23	36	1503
24	38	1498
25	39	1493
26	41	1489
27	42	1484
28	45	1509
29	46	1501
30	47	1499
31	49	1495
32	50	1492
33	52	1487
34	53	1483
35	55	1481
36	56	1477
37	58	1473
38	60	1489
39	61	1486
40	63	1483
41	64	1479
42	66	1475
43	67	1472
44	69	1468
45	70	1465
46	72	1461
47	73	1458
48	75	1467
49	77	1466
50	78	1463
51	80	1460
52	81	1457
53	83	1454
54	84	1451
55	85	1447
56	87	1444
57	88	1441
58	90	1450
59	92	1448
60	93	1445
61	95	1443
62	96	1442
63	98	1440
64	99	1437
65	101	1434
66	102	1431
67	104	1429
68	106	1439
69	108	1437
70	109	1434
71	111	1431
72	112	1428
73	113	1426
74	115	1423
75	117	1423
76	118	1420
77	119	1417
78	122	1430
79	124	1426
80	125	1427
81	127	1431
82	129	1435
83	132	1441
84	134	1447
85	136	1455
86	138	1457
87	140	1453
88	141	1450
89	142	1440
90	143	1437
91	145	1433
92	146	1431
93	148	1426
94	149	1423
95	151	1423
96	153	1426
97	155	1429
98	156	1427
99	158	1425
100	160	1432
101	162	1432
102	164	1434
103	168	1452
104	170	1453
105	171	1449
106	173	1444
107	174	1441
108	175	1436
109	176	1432
110	178	1427
111	179	1424
112	180	1420
113	183	1425
114	184	1421
115	186	1420
116	187	1418
117	189	1417
118	191	1417
119	193	1420
120	195	1421
121	198	1426
122	200	1427
123	202	1428
124	204	1433
125	206	1433
126	208	1436
127	220	1500
128	222	1502
129	224	1501
130	226	1500
131	227	1496
132	231	1507
133	232	1503
134	234	1504
135	236	1502
136	238	1501
137	240	1500
138	242	1500
139	245	1507
140	247	1508
141	249	1508
142	251	1508
