Date,INR
1-Dec-1994,31.38
2-Dec-1994,31.42
5-Dec-1994,31.38
6-Dec-1994,31.39
7-Dec-1994,31.38
8-Dec-1994,31.38
9-Dec-1994,31.37
12-Dec-1994,31.37
13-Dec-1994,31.37
14-Dec-1994,31.37
15-Dec-1994,31.37
16-Dec-1994,31.37
19-Dec-1994,31.38
20-Dec-1994,31.4
21-Dec-1994,31.4
22-Dec-1994,31.4
23-Dec-1994,31.4
27-Dec-1994,31.39
28-Dec-1994,31.43
29-Dec-1994,31.42
30-Dec-1994,31.38
2-Jan-1995,
3-Jan-1995,31.37
4-Jan-1995,31.37
5-Jan-1995,31.37
6-Jan-1995,31.37
9-Jan-1995,31.37
10-Jan-1995,31.37
11-Jan-1995,31.37
12-Jan-1995,31.37
13-Jan-1995,31.37
16-Jan-1995,31.37
17-Jan-1995,31.37
18-Jan-1995,31.37
19-Jan-1995,31.38
20-Jan-1995,31.37
23-Jan-1995,31.37
24-Jan-1995,31.38
25-Jan-1995,31.38
26-Jan-1995,
27-Jan-1995,31.4
30-Jan-1995,31.38
31-Jan-1995,31.37
1-Feb-1995,
2-Feb-1995,31.37
3-Feb-1995,31.37
6-Feb-1995,31.37
7-Feb-1995,31.37
8-Feb-1995,31.37
9-Feb-1995,31.37
10-Feb-1995,31.38
13-Feb-1995,31.37
14-Feb-1995,31.38
15-Feb-1995,31.37
16-Feb-1995,31.37
17-Feb-1995,31.37
20-Feb-1995,31.37
21-Feb-1995,31.38
22-Feb-1995,31.38
23-Feb-1995,31.38
24-Feb-1995,31.39
27-Feb-1995,31.39
28-Feb-1995,31.43
1-Mar-1995,31.46
2-Mar-1995,31.47
3-Mar-1995,31.93
6-Mar-1995,31.67
7-Mar-1995,31.96
8-Mar-1995,31.81
9-Mar-1995,31.76
10-Mar-1995,31.75
13-Mar-1995,31.82
14-Mar-1995,31.85
15-Mar-1995,31.78
16-Mar-1995,31.51
17-Mar-1995,31.51
20-Mar-1995,31.5
21-Mar-1995,31.53
22-Mar-1995,31.54
23-Mar-1995,31.66
24-Mar-1995,31.65
27-Mar-1995,31.64
28-Mar-1995,31.61
29-Mar-1995,31.56
30-Mar-1995,31.47
31-Mar-1995,31.5
3-Apr-1995,31.44
4-Apr-1995,31.46
5-Apr-1995,31.45
6-Apr-1995,31.45
7-Apr-1995,31.41
10-Apr-1995,31.41
11-Apr-1995,31.41
12-Apr-1995,31.41
13-Apr-1995,31.41
14-Apr-1995,31.41
17-Apr-1995,31.39
18-Apr-1995,31.4
19-Apr-1995,31.4
20-Apr-1995,31.41
21-Apr-1995,31.45
24-Apr-1995,31.41
25-Apr-1995,31.39
26-Apr-1995,31.38
27-Apr-1995,31.4
28-Apr-1995,31.39
1-May-1995,31.39
2-May-1995,31.41
3-May-1995,31.43
4-May-1995,31.42
5-May-1995,31.42
8-May-1995,31.42
9-May-1995,31.39
10-May-1995,31.39
11-May-1995,31.39
12-May-1995,31.45
15-May-1995,31.44
16-May-1995,31.44
17-May-1995,31.45
18-May-1995,31.46
19-May-1995,31.44
22-May-1995,31.42
23-May-1995,31.4
24-May-1995,31.4
25-May-1995,31.39
26-May-1995,31.4
29-May-1995,31.39
30-May-1995,31.41
31-May-1995,31.42
1-Jun-1995,31.42
2-Jun-1995,31.41
5-Jun-1995,31.39
6-Jun-1995,31.41
7-Jun-1995,31.4
8-Jun-1995,31.42
9-Jun-1995,31.42
12-Jun-1995,31.41
13-Jun-1995,31.41
14-Jun-1995,31.41
15-Jun-1995,31.4
16-Jun-1995,31.41
19-Jun-1995,31.4
20-Jun-1995,31.4
21-Jun-1995,31.4
